id,provider,service_type,region,instance_type,usage_hours,cpu_cores,memory_gb,cost_per_hour,total_cost,cost_per_cpu,cost_per_gb,cost_per_hour_per_cpu,efficiency_score,memory_per_cpu,resource_intensity,is_high_memory,is_high_cpu,cluster,ml_prediction,model_type,model_r2_score,model_mae,model_oob_score,clustering_algorithm,n_clusters,provider_encoded,service_type_encoded,region_encoded,data_source,source_url,documentation_url,analysis_timestamp,analysis_date,analysis_time
1,AWS,Compute,us-west-2,t3.nano,10.1003,2,0.5000,0.0057,0.0578,0.0289,0.1155,0.0029,0.0029,0.2500,1.0000,0,0,0,0.1427,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,1,9,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
2,AWS,Compute,eu-west-1,t3.nano,2.7159,2,0.5000,0.0060,0.0162,0.0081,0.0325,0.0030,0.0030,0.2500,1.0000,0,0,0,,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,1,3,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
3,AWS,Storage,eu-west-1,t3.nano,404.6425,2,0.5000,0.0018,0.7259,0.3630,1.4519,0.0009,0.0009,0.2500,1.0000,0,0,2,5.2649,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,4,3,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
4,AWS,Compute,us-east-1,t3.nano,9.6435,2,0.5000,0.0052,0.0501,0.0251,0.1003,0.0026,0.0026,0.2500,1.0000,0,0,0,,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,1,8,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
5,AWS,Compute,us-west-2,t3.nano,139.5654,2,0.5000,0.0057,0.7983,0.3992,1.5966,0.0029,0.0029,0.2500,1.0000,0,0,0,,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,1,9,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
6,AWS,Compute,us-east-1,t3.nano,47.5066,2,0.5000,0.0052,0.2470,0.1235,0.4941,0.0026,0.0026,0.2500,1.0000,0,0,0,,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,1,8,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
7,AWS,Network,us-west-2,t3.nano,79.4851,2,0.5000,0.0029,0.2273,0.1137,0.4547,0.0014,0.0014,0.2500,1.0000,0,0,0,0.5239,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,3,9,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
8,AWS,Storage,us-east-1,t3.nano,144.9236,2,0.5000,0.0016,0.2261,0.1130,0.4522,0.0008,0.0008,0.2500,1.0000,0,0,0,,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,4,8,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
9,AWS,Storage,us-east-1,t3.nano,200.9428,2,0.5000,0.0016,0.3135,0.1567,0.6269,0.0008,0.0008,0.2500,1.0000,0,0,0,,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,4,8,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
10,AWS,Compute,us-west-2,t3.nano,16.2094,2,0.5000,0.0057,0.0927,0.0464,0.1854,0.0029,0.0029,0.2500,1.0000,0,0,0,0.2558,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,1,9,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
11,AWS,Compute,us-east-1,t3.nano,520.9217,2,0.5000,0.0052,2.7088,1.3544,5.4176,0.0026,0.0026,0.2500,1.0000,0,0,2,10.9020,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,1,8,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
12,AWS,Compute,us-west-2,t3.nano,10.8475,2,0.5000,0.0057,0.0620,0.0310,0.1241,0.0029,0.0029,0.2500,1.0000,0,0,0,0.1479,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,1,9,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
13,AWS,Network,us-west-2,t3.nano,129.8697,2,0.5000,0.0029,0.3714,0.1857,0.7429,0.0014,0.0014,0.2500,1.0000,0,0,0,,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,3,9,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
14,AWS,Compute,us-east-1,t3.nano,280.5691,2,0.5000,0.0052,1.4590,0.7295,2.9179,0.0026,0.0026,0.2500,1.0000,0,0,2,,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,1,8,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
15,AWS,Compute,us-west-2,t3.nano,118.2291,2,0.5000,0.0057,0.6763,0.3381,1.3525,0.0029,0.0029,0.2500,1.0000,0,0,0,,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,1,9,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
16,AWS,Network,us-west-2,t3.micro,9.8459,2,1.0000,0.0057,0.0563,0.0282,0.0563,0.0029,0.0029,0.5000,2.0000,0,0,0,0.0879,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,3,9,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
17,AWS,Compute,us-west-2,t3.micro,189.1787,2,1.0000,0.0114,2.1642,1.0821,2.1642,0.0057,0.0057,0.5000,2.0000,0,0,0,,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,1,9,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
18,AWS,Compute,eu-west-1,t3.micro,186.6874,2,1.0000,0.0120,2.2328,1.1164,2.2328,0.0060,0.0060,0.5000,2.0000,0,0,0,,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,1,3,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
19,AWS,Compute,us-west-2,t3.micro,131.2061,2,1.0000,0.0114,1.5010,0.7505,1.5010,0.0057,0.0057,0.5000,2.0000,0,0,0,1.2896,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,1,9,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
20,AWS,Compute,us-east-1,t3.micro,51.7498,2,1.0000,0.0104,0.5382,0.2691,0.5382,0.0052,0.0052,0.5000,2.0000,0,0,0,0.4296,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,1,8,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
21,AWS,Compute,us-east-1,t3.micro,44.8057,2,1.0000,0.0104,0.4660,0.2330,0.4660,0.0052,0.0052,0.5000,2.0000,0,0,0,,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,1,8,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
22,AWS,Compute,us-west-2,t3.micro,23.2251,2,1.0000,0.0114,0.2657,0.1328,0.2657,0.0057,0.0057,0.5000,2.0000,0,0,0,,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,1,9,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
23,AWS,AI/ML,us-east-1,t3.micro,119.7682,2,1.0000,0.0312,3.7368,1.8684,3.7368,0.0156,0.0156,0.5000,2.0000,0,0,0,2.7034,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,0,8,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
24,AWS,Database,us-west-2,t3.micro,63.7021,2,1.0000,0.0229,1.4575,0.7288,1.4575,0.0114,0.0114,0.5000,2.0000,0,0,0,,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,2,9,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
25,AWS,Storage,us-west-2,t3.micro,120.1358,2,1.0000,0.0034,0.4123,0.2062,0.4123,0.0017,0.0017,0.5000,2.0000,0,0,0,,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,4,9,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
26,AWS,Compute,us-west-2,t3.micro,44.6137,2,1.0000,0.0114,0.5104,0.2552,0.5104,0.0057,0.0057,0.5000,2.0000,0,0,0,,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,1,9,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
27,AWS,AI/ML,us-east-1,t3.micro,84.9881,2,1.0000,0.0312,2.6516,1.3258,2.6516,0.0156,0.0156,0.5000,2.0000,0,0,0,,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,0,8,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
28,AWS,Compute,us-east-1,t3.micro,174.7744,2,1.0000,0.0104,1.8177,0.9088,1.8177,0.0052,0.0052,0.5000,2.0000,0,0,0,,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,1,8,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
29,AWS,Compute,us-west-2,t3.micro,437.0115,2,1.0000,0.0114,4.9994,2.4997,4.9994,0.0057,0.0057,0.5000,2.0000,0,0,2,,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,1,9,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
30,AWS,Storage,us-east-1,t3.micro,159.5045,2,1.0000,0.0031,0.4977,0.2488,0.4977,0.0016,0.0016,0.5000,2.0000,0,0,0,,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,4,8,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
31,AWS,Storage,eu-west-1,t3.small,378.9764,2,2.0000,0.0072,2.7195,1.3598,1.3598,0.0036,0.0036,1.0000,4.0000,0,0,2,4.6643,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,4,3,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
32,AWS,Compute,us-east-1,t3.small,56.0209,2,2.0000,0.0208,1.1652,0.5826,0.5826,0.0104,0.0104,1.0000,4.0000,0,0,0,,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,1,8,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
33,AWS,Compute,eu-west-1,t3.small,85.5957,2,2.0000,0.0239,2.0474,1.0237,1.0237,0.0120,0.0120,1.0000,4.0000,0,0,0,,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,1,3,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
34,AWS,Compute,eu-west-1,t3.small,46.1402,2,2.0000,0.0239,1.1037,0.5518,0.5518,0.0120,0.0120,1.0000,4.0000,0,0,0,1.0434,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,1,3,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
35,AWS,Compute,us-east-1,t3.small,303.6712,2,2.0000,0.0208,6.3164,3.1582,3.1582,0.0104,0.0104,1.0000,4.0000,0,0,2,,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,1,8,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
36,AWS,Storage,us-west-2,t3.small,55.9150,2,2.0000,0.0069,0.3838,0.1919,0.1919,0.0034,0.0034,1.0000,4.0000,0,0,0,,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,4,9,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
37,AWS,Storage,us-east-1,t3.small,36.6401,2,2.0000,0.0062,0.2286,0.1143,0.1143,0.0031,0.0031,1.0000,4.0000,0,0,0,,RandomForestRegressor,0.6825,6.2710,0.7073,KMeans,4,0,4,8,AWS Price List API,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonEC2/current/index.json,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2025-08-28T11:25:38.414951,2025-08-28,11:25:38
